dish_name,ingredients,spice_level,taste,speciality
Paneer Butter Masala,"Paneer, tomato, butter, cream, cashew",Low,"Creamy and mildly sweet","Classic North Indian paneer curry"
Paneer Tikka,"Paneer, yogurt, spices",Medium,"Smoky and spicy","Tandoor-style grilled starter"
Veg Spring Roll,"Vegetables, wrappers, spices",Low,"Crispy and savory","Popular Indo-Chinese starter"
Hara Bhara Kabab,"Spinach, peas, potato, spices",Low,"Mild and herby","Healthy green kabab"
Crispy Corn,"Corn, spices, herbs",Medium,"Crunchy and spicy","Popular crispy starter"
Cheese Balls,"Cheese, potato, breadcrumbs",Low,"Cheesy and crunchy","Deep-fried cheese snack"
Veg Kolhapuri,"Mixed vegetables, coconut, red spices",High,"Spicy and bold","Traditional Maharashtrian curry"
Dal Tadka,"Yellow lentils, ghee, garlic, spices",Low,"Comforting and savory","Classic Indian dal"
Veg Handi,"Mixed vegetables, onion gravy",Medium,"Rich and mildly spicy","Vegetable curry cooked in handi"
Mix Veg Curry,"Seasonal vegetables, spices",Medium,"Balanced and homely","Everyday Indian vegetable curry"
Gulab Jamun,"Milk solids, sugar syrup",Low,"Sweet and rich","Classic Indian dessert"
Chocolate Brownie,"Chocolate, flour, butter",Low,"Rich and chocolaty","Soft baked chocolate dessert"
Ice Cream Sundae,"Milk, cream, sugar, toppings",Low,"Cold and sweet","Layered ice cream dessert"
Rasgulla,"Chenna, sugar syrup",Low,"Soft and juicy","Bengali sweet dessert"
Kesar Pista Kulfi,"Milk, saffron, pistachio",Low,"Rich and aromatic","Traditional Indian frozen dessert"
